date,amount,price,sid,symbol,value
2012-09-25 00:00:00+00:00,215,125.1,42,DABU,-26896.5
2012-09-25 00:00:00+00:00,-172,163.3,46,EMAM,28087.600000000002
2012-09-25 00:00:00+00:00,170,109.53,139,TREN,-18620.1
2012-10-09 00:00:00+00:00,119,210.45,1,ABUJ,-25043.55
2012-10-09 00:00:00+00:00,-47,659.2,90,MINT,30982.4
2012-10-16 00:00:00+00:00,-215,135.0,42,DABU,29025.0
2012-10-16 00:00:00+00:00,598,41.55,92,MNFL,-24846.899999999998
2012-10-23 00:00:00+00:00,78,225.0,4,AMAR,-17550.0
2012-10-23 00:00:00+00:00,-46,405.35,53,GLEN,18646.100000000002
2012-10-30 00:00:00+00:00,-16,1163.65,43,DIVI,18618.4
2012-10-30 00:00:00+00:00,95,150.0,131,TAGL,-14250.0
2012-10-30 00:00:00+00:00,132,196.3,138,TRCE,-25911.600000000002
2012-11-06 00:00:00+00:00,-170,115.17,139,TREN,19578.9
2012-11-06 00:00:00+00:00,19,780.0,143,UBBW,-14820.0
2012-11-13 00:00:00+00:00,-63,345.5,55,GOCP,21766.5
2012-11-13 00:00:00+00:00,595,32.75,93,MOSS,-19486.25
2012-11-27 00:00:00+00:00,-30,537.5,64,HLL,16125.0
2012-11-27 00:00:00+00:00,109,196.67,91,MMFS,-21437.03
2012-12-04 00:00:00+00:00,-119,211.8,1,ABUJ,25204.2
2012-12-04 00:00:00+00:00,165,96.0,8,ARBN,-15840.0
2012-12-04 00:00:00+00:00,-35,456.7,77,IPCA,15984.5
2012-12-04 00:00:00+00:00,-598,36.35,92,MNFL,21737.3
2012-12-04 00:00:00+00:00,4,4316.15,126,SHCM,-17264.6
2012-12-04 00:00:00+00:00,13,1997.0,144,ULTC,-25961.0
2013-01-01 00:00:00+00:00,105,181.1,116,PREG,-19015.5
2013-01-01 00:00:00+00:00,-13,1995.0,144,ULTC,25935.0
2013-01-22 00:00:00+00:00,-154,136.01,21,BJFN,20945.539999999997
2013-01-22 00:00:00+00:00,-95,154.4,131,TAGL,14668.0
2013-01-22 00:00:00+00:00,100,268.6,145,UNBK,-26860.000000000004
2013-01-29 00:00:00+00:00,556,46.52,9,ARTI,-25865.120000000003
2013-01-29 00:00:00+00:00,-460,35.86,148,VGUA,16495.6
2013-02-05 00:00:00+00:00,49,493.0,130,SUTV,-24157.0
2013-02-05 00:00:00+00:00,-19,768.25,143,UBBW,14596.75
2013-02-12 00:00:00+00:00,-4,4415.0,126,SHCM,17660.0
2013-02-12 00:00:00+00:00,176,109.5,149,VODA,-19272.0
2013-02-19 00:00:00+00:00,-556,41.95,9,ARTI,23324.2
2013-03-05 00:00:00+00:00,75,275.0,12,AXBK,-20625.0
2013-03-05 00:00:00+00:00,177,67.91,28,BRGR,-12020.07
2013-03-05 00:00:00+00:00,-109,181.05,91,MMFS,19734.45
2013-03-05 00:00:00+00:00,1,11684.3,95,MRF,-11684.3
2013-03-05 00:00:00+00:00,-100,216.5,145,UNBK,21650.0
2013-03-12 00:00:00+00:00,-165,83.58,8,ARBN,13790.699999999999
2013-03-12 00:00:00+00:00,142,193.59,61,HCLT,-27489.78
2013-03-26 00:00:00+00:00,50,488.0,11,ASPN,-24400.0
2013-03-26 00:00:00+00:00,-97,209.4,153,ZEE,20311.8
2013-04-02 00:00:00+00:00,-105,163.15,116,PREG,17130.75
